GM,Team,Note,From,To,Reference
Travis Schlenk,Golden State Warriors,Schlenk joined the Warriors prior to the 2004-05 season as a video scout,2004,2017,https://www.nba.com/warriors/staff/travis-schlenk
Travis Schlenk,Miami Heat,He has also worked as a video coordinator for the Miami Heat from 1999 to 2003,1999,2004,https://atlantahawkspr.files.wordpress.com/2018/10/1819_hwk_pr_media-guide.pdf
Travis Schlenk,Orlando Magic,"part of the Orlando Magic’s basketball operations staff in 1997-98, where he worked under Hall-of-Famer Chuck Daly",1997,1998,https://atlantahawkspr.files.wordpress.com/2018/10/1819_hwk_pr_media-guide.pdf
Danny Ainge,Phoenix Suns,Head coach of the Suns,1996,1999,https://www.nba.com/resources/static/team/v2/celtics/media/2015-16-Celtics-MediaGuide-F.pdf
Sean Marks,San Antonio Spurs,Assistant coach and front office,2011,2016,https://www.nba.com/nets/news/2016/02/18/brooklyn-nets-name-sean-marks-general-manager
Mitch Kupchak,Los Angeles Lakers,"Assistant GM, then promoted to GM in 2000",1986,2017,https://www.nba.com/resources/static/team/v2/hornets/PDFs/1819_Media-Guide.pdf
Donn Nelson,Milwaukee Bucks,Regional scout,1984,1986,https://www.mavs.com/wp-content/uploads/2019/08/19_DallasMavericksMediaGuide_FinalRevised-1.pdf
Donn Nelson,Golden State Warriors,top assistant to his father at Golden State,1986,1994,https://www.mavs.com/wp-content/uploads/2019/08/19_DallasMavericksMediaGuide_FinalRevised-1.pdf
Donn Nelson,Phoenix Suns,assistant coach,1995,1998,https://www.mavs.com/wp-content/uploads/2019/08/19_DallasMavericksMediaGuide_FinalRevised-1.pdf
Donn Nelson,Dallas Mavericks,Director of Scouting; and also head coach,1998,2002,https://www.mavs.com/wp-content/uploads/2019/08/19_DallasMavericksMediaGuide_FinalRevised-1.pdf
Tim Connelly,Washington Wizards,began as intern; head scouting,1996,2010,https://www.nba.com/resources/static/team/v2/nuggets/DenverNuggets_2017-18_MediaGuide.pdf
Tim Connelly,New Orleans Pelicans,asst gm,2010,2013,https://www.nba.com/resources/static/team/v2/nuggets/DenverNuggets_2017-18_MediaGuide.pdf
Daryl Morey,Boston Celtics,Helped purchasing the team as a consultant; then worked as SVP,2003,2006,https://www.nba.com/rockets/news/Rockets_Hire_Morey_as_Assistan-174585-822.html
Daryl Morey,Houston Rockets,asst gm,2006,2007,https://www.nba.com/resources/static/team/v2/rockets/1819MediaGuide.pdf
Kevin Pritchard,San Antonio Spurs,hired by San Antonio Spurs general manager R. C. Buford to be a scout,2001,2003,https://www2.ljworld.com/news/2007/apr/01/pritchard_worked_way/
Kevin Pritchard,Portland Trail Blazers,Joined as Dir of Player Personnel; promoted to GM,2004,2010,https://ak-static-int.nba.com/wp-content/uploads/sites/3/2017/10/2017-18-Media-Guide-Pacers.pdf
Kevin Pritchard,Indiana Pacers,Dir of Player Personnel,2011,2012,https://www.indycornrows.com/2011/7/8/2265917/wells-pacers-set-to-hire-former-blazers-gm-kevin-pritchard/comment/71564372
Lawrence Frank,Memphis Grizzlies,assistant coach,1997,2000,https://basketball.realgm.com/staff/Lawrence-Frank/Summary/803
Lawrence Frank,Brooklyn Nets,assistant coach; promoted to head coach,2000,2010,https://www.basketball-reference.com/coaches/frankla99c.html
Lawrence Frank,Boston Celtics,assistant coach under Doc Rivers,2010,2011,https://www.nba.com/clippers/lawrence-frank
Lawrence Frank,Detroit Pistons,head coach,2011,2013,https://www.nba.com/clippers/lawrence-frank
Lawrence Frank,Brooklyn Nets,assistant coach under Jason Kidd,2013,2014,https://www.basketball-reference.com/coaches/frankla99c.html
Lawrence Frank,Los Angeles Clippers,asst coach,2014,2016,https://www.nba.com/clippers/lawrence-frank
Pat Riley,Los Angeles Lakers,assistant coach; promoted to head coach,1979,1990,https://www.britannica.com/biography/Pat-Riley
Pat Riley,New York Knicks,head coach,1991,1995,https://www.britannica.com/biography/Pat-Riley
Jon Horst,Detroit Pistons,Basketball Operations Manager,2005,2008,https://www.nba.com/bucks/features/introductory-press-conference-jon-horst
Jon Horst,Milwaukee Bucks,Director of Basketball Operations,2008,2017,https://onmilwaukee.com/sports/articles/bucks-name-jon-horst-general-manager.html
David Griffin,Phoenix Suns,started as intern; ultimately promoted to SVP,1993,2010,https://basketball.realgm.com/staff/David-Griffin/Summary/695
David Griffin,Cleveland Cavaliers,gm,2010,2017,https://basketball.realgm.com/staff/David-Griffin/Summary/695
Scott Perry,Detroit Pistons,college scout; then dir of player personnel,2000,2007,https://io.cnn.net/nba/nba/.element/media/2.0/teamsites/knicks/media/2016-17/pdf/2017-18-NYK-Media-Guide.pdf
Scott Perry,Oklahoma City Thunder,asst gm,2007,2008,https://io.cnn.net/nba/nba/.element/media/2.0/teamsites/knicks/media/2016-17/pdf/2017-18-NYK-Media-Guide.pdf
Scott Perry,Detroit Pistons,vp basketball ops,2008,2012,https://io.cnn.net/nba/nba/.element/media/2.0/teamsites/knicks/media/2016-17/pdf/2017-18-NYK-Media-Guide.pdf
Scott Perry,Orlando Magic,asst gm; then vp basketball ops,2012,2017,https://io.cnn.net/nba/nba/.element/media/2.0/teamsites/knicks/media/2016-17/pdf/2017-18-NYK-Media-Guide.pdf
Scott Perry,Sacramento Kings,evp basketball ops for 3 months,2017,2017,https://io.cnn.net/nba/nba/.element/media/2.0/teamsites/knicks/media/2016-17/pdf/2017-18-NYK-Media-Guide.pdf
Sam Presti,San Antonio Spurs,starting as video intern; ended as asst gm,2000,2007,https://www.nba.com/resources/static/team/v2/thunder/Thunder%20Guide%202018_r110518.pdf
Neil Olshey,Los Angeles Clippers,dir of player personnel; ended as asst gm,2003,2012,https://www.nba.com/blazers/mediaguide
R.C. Buford,San Antonio Spurs,asst coach,1988,1992,https://www.nba.com/spurs/2018-19-media-guide
R.C. Buford,Los Angeles Clippers,asst coach under Larry Brown,1992,1993,https://www.nba.com/spurs/2018-19-media-guide
Masai Ujiri,Orlando Magic,unpaid scout,2002,2003,https://www.nba.com/magic/news/masai-ujiri-jeff-weltman-will-be-phenomenal-his-role-orlando
Masai Ujiri,Denver Nuggets,scout; then dir of player personnel,2003,2007,https://mlse.com/our-company/leaders-at-mlse/
Masai Ujiri,Toronto Raptors,Director of Global Scouting; then Assistant General Manager,2007,2010,https://mlse.com/our-company/leaders-at-mlse/
Masai Ujiri,Denver Nuggets,GM,2010,2013,https://mlse.com/our-company/leaders-at-mlse/
Dennis Lindsey,Houston Rockets,video coordinator/scout; then dir of player personnel,1996,2007,https://ak-static-int.nba.com/wp-content/uploads/sites/3/2017/10/2017-18-Media-Guide-Jazz.pdf
Dennis Lindsey,San Antonio Spurs,VP and asst gm,2007,2012,https://ak-static-int.nba.com/wp-content/uploads/sites/3/2017/10/2017-18-Media-Guide-Jazz.pdf
Tommy Sheppard,Denver Nuggets,Senior Director of Team Services and Player Relations,1994,2003,https://www.nba.com/wizards/news/sheppard081021html
Zach Kleiman,New York Knicks,Basketball Operations Intern,2008,2008,https://www.linkedin.com/in/zachary-z-kleiman-3064178/
Zach Kleiman,Los Angeles Lakers,Public Relations Intern,2008,2010,https://www.linkedin.com/in/zachary-z-kleiman-3064178/
Zach Kleiman,Charlotte Hornets,Basketball Operations Intern,2012,2013,https://www.linkedin.com/in/zachary-z-kleiman-3064178/
Zach Kleiman,Memphis Grizzlies,Counsel; asst gm,2015,2019,https://www.linkedin.com/in/zachary-z-kleiman-3064178/
Jeff Weltman,Los Angeles Clippers,"Scout, Video Coordinator, Dir of Player Personnel",1988,2001,https://www.nba.com/resources/static/team/v2/magic/Orlando_Magic_2018_2019_media_guide_30_link.pdf
Jeff Weltman,Denver Nuggets,asst gm,2001,2006,https://www.nba.com/resources/static/team/v2/magic/Orlando_Magic_2018_2019_media_guide_30_link.pdf
Jeff Weltman,Detroit Pistons,Director of Basketball Administration,2007,2008,https://www.nba.com/resources/static/team/v2/magic/Orlando_Magic_2018_2019_media_guide_30_link.pdf
Jeff Weltman,Milwaukee Bucks,asst gm,2008,2013,https://www.nba.com/resources/static/team/v2/magic/Orlando_Magic_2018_2019_media_guide_30_link.pdf
Jeff Weltman,Toronto Raptors,evp basketball ops; then gm,2013,2017,https://www.nba.com/resources/static/team/v2/magic/Orlando_Magic_2018_2019_media_guide_30_link.pdf
Ed Stefanski,Brooklyn Nets,Director of Scouting; then GM,1998,2007,https://www.nba.com/resources/static/team/v2/pistons/files/1819_leadership.pdf
Ed Stefanski,Philadelphia 76ers,General Manager,2007,2011,https://www.nba.com/resources/static/team/v2/pistons/files/1819_leadership.pdf
Ed Stefanski,Toronto Raptors,evp basketball ops,2011,2013,https://www.nba.com/resources/static/team/v2/pistons/files/1819_leadership.pdf
Ed Stefanski,Memphis Grizzlies,Executive Vice President of Player Personnel,2014,2018,https://www.nba.com/resources/static/team/v2/pistons/files/1819_leadership.pdf
Gar Forman,Chicago Bulls,scout; Dir of Player Personnel,1998,2009,https://www.nba.com/resources/static/team/v2/bulls/docs/Bulls_MG_1819.pdf
Koby Altman,Cleveland Cavaliers,Pro Personnel Manger; Dir of Player Personnel,2012,2017,https://www.nba.com/resources/static/team/v2/cavaliers/pdfs/2017-18-Guide-Office-web.pdf
Bob Myers,Golden State Warriors,asst gm,2011,2012,https://ak-static-int.nba.com/wp-content/uploads/sites/3/2017/10/2017-18-Media-Guide-Warriors.pdf
Rob Pelinka,Los Angeles Lakers,gm; took over after Magic fired,2017,2019,https://www.nba.com/resources/static/team/v2/lakers/media/18-19-los-angeles-lakers-media-guide.pdf
Elton Brand,Philadelphia 76ers,player development consultant,2016,2018,https://www.nba.com/resources/static/team/v2/sixers/pdfs/1819_mediaguide_v5.pdf
James Jones,Phoenix Suns,vp basketball ops,2017,2019,https://www.nba.com/suns/suns-name-james-jones-general-manager-0#
Vlade Divac,Sacramento Kings,vp basketball,2015,2015,https://www.nba.com/resources/static/team/v2/kings/KINGSDIGITAL-SYNC/pdf/1819-MediaGuide.pdf
R.C. Buford,San Antonio Spurs,head scout; asst gm,1994,2002,https://www.nba.com/spurs/2018-19-media-guide
Tommy Sheppard,Washington Wizards,various tasks,2003,2019,https://www.nba.com/wizards/gm-tommy-sheppard
Gersson Rosas,Houston Rockets,various tasks,2004,2013,https://www.linkedin.com/in/gersson-rosas-2b98579
Gersson Rosas,Dallas Mavericks,GM for 3 months,2013,2013,https://www.usatoday.com/story/sports/nba/mavericks/2013/10/29/gersson-rosas-out-as-dallas-mavericks-general-manager/3308583/
Gersson Rosas,Houston Rockets,Co-lead Scouting and Player Personnel,2013,2019,https://www.nba.com/resources/static/team/v2/rockets/1819MediaGuide.pdf
